model_name,weights,num_classes,num_epochs,batch_size,learning_rate,train_fraction,test_fraction,train_samples_used,test_samples_used,trainable_params,best_train_loss,train_time_sec,eval_time_sec,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_precision_macro,test_recall_macro,test_f1_macro,status,error
alexnet,AlexNet_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,54546435,1.248179,39.32,34.04,0.61859,0.757901,0.61859,0.575621,0.704248,0.620653,0.557091,success,
convnext_base,ConvNeXt_Base_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3075,0.85469,40.03,30.23,0.634615,0.715408,0.634615,0.585169,0.713116,0.544869,0.519471,success,
convnext_large,ConvNeXt_Large_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,4611,0.903109,42.94,31.79,0.592949,0.675162,0.592949,0.550651,0.650549,0.521499,0.504557,success,
convnext_small,ConvNeXt_Small_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,2307,0.988961,38.88,29.63,0.663462,0.689608,0.663462,0.643962,0.679809,0.603217,0.606334,success,
convnext_tiny,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,2307,0.82895,34.72,27.4,0.660256,0.732051,0.660256,0.635759,0.741143,0.590828,0.59437,success,
densenet121,DenseNet121_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3075,0.918701,35.29,28.04,0.580128,0.664776,0.580128,0.543189,0.656964,0.538011,0.52549,success,
densenet161,DenseNet161_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,6627,0.880696,36.05,29.21,0.753205,0.764037,0.753205,0.756956,0.731926,0.739039,0.733296,success,
densenet169,DenseNet169_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,4995,0.877351,35.47,28.01,0.753205,0.750962,0.753205,0.751285,0.736691,0.731038,0.733101,success,
densenet201,DenseNet201_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,5763,0.873031,35.08,27.18,0.641026,0.713465,0.641026,0.620187,0.669572,0.646423,0.601909,success,
efficientnet_b0,EfficientNet_B0_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,0.867606,44.12,31.78,0.676282,0.725634,0.676282,0.665099,0.737355,0.641224,0.6536,success,
efficientnet_b1,EfficientNet_B1_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,3843,0.968325,41.63,31.68,0.397436,0.696486,0.397436,0.379981,0.632099,0.48831,0.389054,success,
efficientnet_b2,EfficientNet_B2_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,4227,0.888693,47.61,34.19,0.711538,0.741762,0.711538,0.700234,0.740151,0.660949,0.672083,success,
efficientnet_b3,EfficientNet_B3_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,4611,0.933738,50.61,35.55,0.589744,0.596627,0.589744,0.592656,0.561546,0.563094,0.561686,success,
efficientnet_b4,EfficientNet_B4_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,5379,0.991242,56.76,38.41,0.451923,0.656226,0.451923,0.327922,0.668991,0.385857,0.299072,success,
efficientnet_b5,EfficientNet_B5_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,6147,0.96143,65.63,43.5,0.580128,0.621186,0.580128,0.515421,0.606688,0.487483,0.440174,success,
efficientnet_b6,EfficientNet_B6_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,6915,0.941135,79.81,50.76,0.564103,0.577839,0.564103,0.526848,0.513606,0.497287,0.465462,success,
efficientnet_b7,EfficientNet_B7_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,7683,0.941334,129.16,80.73,0.625,0.520769,0.625,0.561854,0.442542,0.526571,0.475588,success,
efficientnet_v2_l,EfficientNet_V2_L_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,0.867732,61.82,39.46,0.442308,0.583467,0.442308,0.316983,0.516254,0.366254,0.26875,success,
efficientnet_v2_m,EfficientNet_V2_M_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,0.946731,50.05,35.9,0.673077,0.688172,0.673077,0.656971,0.686914,0.617246,0.623717,success,
efficientnet_v2_s,EfficientNet_V2_S_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,0.939291,45.12,31.87,0.647436,0.722483,0.647436,0.632465,0.73261,0.593765,0.60602,success,
googlenet,GoogLeNet_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3075,0.981533,34.62,26.96,0.423077,0.76024,0.423077,0.265636,0.805195,0.35131,0.230306,success,
inception_v3,Inception_V3_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,6147,0.993432,37.21,28.63,0.5,0.63691,0.5,0.471276,0.589914,0.562243,0.479014,success,
maxvit_t,MaxVit_T_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,264195,0.770698,43.76,32.07,0.650641,0.722859,0.650641,0.626331,0.694469,0.610183,0.59991,success,
mnasnet0_5,MNASNet0_5_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,1.028095,37.48,28.8,0.410256,0.16831,0.410256,0.238695,0.136752,0.333333,0.193939,success,
mnasnet0_75,MNASNet0_75_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,0.899823,37.29,28.8,0.410256,0.16831,0.410256,0.238695,0.136752,0.333333,0.193939,success,
mnasnet1_0,MNASNet1_0_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,0.893455,35.45,27.69,0.413462,0.38039,0.413462,0.245553,0.470525,0.338384,0.204331,success,
mnasnet1_3,MNASNet1_3_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,3843,0.94292,43.99,30.68,0.477564,0.499683,0.477564,0.424991,0.484315,0.408639,0.376799,success,
mobilenet_v2,MobileNet_V2_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,3843,0.894918,36.82,28.17,0.480769,0.669189,0.480769,0.375094,0.665331,0.402157,0.325579,success,
mobilenet_v3_large,MobileNet_V3_Large_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,1233923,0.688628,36.3,28.36,0.471154,0.644042,0.471154,0.357897,0.628608,0.391457,0.306528,success,
mobilenet_v3_small,MobileNet_V3_Small_Weights.IMAGENET1K_V1,3,1,64,0.001,0.25,0.5,1321,312,593923,0.714099,35.89,27.85,0.625,0.586349,0.625,0.57836,0.552674,0.538803,0.50878,success,
regnet_x_16gf,RegNet_X_16GF_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,6147,0.899305,35.26,27.98,0.541667,0.747911,0.541667,0.474342,0.792637,0.462948,0.424432,success,
regnet_x_1_6gf,RegNet_X_1_6GF_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,2739,0.987712,35.98,31.34,0.416667,0.31097,0.416667,0.252596,0.360302,0.343434,0.214594,success,
regnet_x_32gf,RegNet_X_32GF_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,7563,0.879114,38.49,29.52,0.516026,0.684226,0.516026,0.436905,0.666549,0.451036,0.403999,success,
regnet_x_3_2gf,RegNet_X_3_2GF_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,3027,0.938375,34.92,27.64,0.448718,0.620001,0.448718,0.33995,0.567341,0.390592,0.308752,success,
regnet_x_400mf,RegNet_X_400MF_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,1203,1.025823,34.7,27.08,0.602564,0.589139,0.602564,0.590832,0.556796,0.556809,0.551487,success,
regnet_x_800mf,RegNet_X_800MF_Weights.IMAGENET1K_V2,3,1,64,0.001,0.25,0.5,1321,312,2019,0.98087,35.04,28.16,0.580128,0.730718,0.580128,0.519556,0.755639,0.496405,0.46308,success,
